Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,mejor_cluster
27,1,United States,NY,0,0,1,1,1,0,1,0,1,0,0,2,0,0,0,1,1,2,2,2,0,7
50,1,United States,IN,0,0,0,4,3,0,1,1,1,0,2,2,4,0,0,2,1,0,2,2,0,0
35,1,United States,TX,0,0,1,1,5,1,1,1,1,0,1,1,0,0,0,1,1,2,2,1,0,7
35,1,United States,MI,0,0,0,4,5,1,1,1,2,2,1,2,2,1,1,2,0,0,2,2,0,0
30,1,United States,IN,0,0,1,2,2,0,1,2,0,0,0,2,4,0,0,0,0,0,2,2,0,7
38,2,United States,TX,0,1,1,2,2,0,1,1,1,0,1,1,1,0,0,2,1,0,0,1,0,1
34,1,United States,TN,0,0,0,4,1,0,1,0,0,0,0,2,4,0,0,1,1,2,1,2,0,0
30,1,United States,IL,0,1,1,1,2,0,1,1,0,0,2,2,4,2,0,2,1,0,0,2,0,2
22,1,United States,TX,0,1,1,3,1,0,1,0,1,0,0,1,3,2,0,0,0,0,2,2,0,2
33,1,United States,UT,0,0,0,4,3,1,1,2,2,2,2,2,4,0,0,2,1,2,2,2,0,0
32,1,United States,TN,0,0,0,0,0,1,1,2,2,0,0,2,4,2,0,2,1,0,0,2,0,9
27,1,United States,NY,0,1,1,1,2,0,1,1,1,0,0,1,4,2,0,0,0,0,0,2,0,2
32,1,United States,TN,0,1,0,4,1,1,1,2,0,0,0,2,1,0,0,1,1,0,0,1,0,6
24,1,United States,NY,0,1,1,2,2,1,1,2,0,0,0,2,4,0,2,2,1,1,1,0,0,1
26,1,United States,TN,0,0,0,4,2,0,0,0,0,0,0,1,1,0,0,2,1,2,1,2,0,0
44,1,United States,IA,0,1,1,2,5,0,0,1,0,0,2,2,4,1,2,2,0,0,2,2,1,1
40,1,United States,CA,0,1,0,2,5,1,1,1,1,1,1,2,4,1,2,2,0,0,0,0,1,8
36,1,United States,TX,0,0,0,2,3,1,1,1,0,2,1,2,4,2,0,2,2,2,1,1,0,9
31,2,United States,NM,0,0,0,4,2,1,0,2,0,2,2,2,4,2,0,2,0,0,2,2,0,5
34,1,United States,NY,1,0,0,1,0,1,1,0,0,0,0,2,4,2,0,2,0,0,0,2,0,9
23,2,United States,MA,0,0,0,1,5,0,1,1,1,0,0,1,2,2,0,1,1,0,0,0,0,9
33,1,United States,CA,0,0,0,0,5,0,1,2,2,1,2,2,4,2,0,2,2,0,2,1,0,9
25,1,United States,WA,0,0,0,4,5,1,1,1,1,1,1,2,4,0,0,1,1,2,1,1,0,0
31,1,United States,WA,1,1,0,2,0,1,1,0,0,0,0,1,2,0,0,1,1,2,2,1,0,6
32,1,United States,UT,0,1,1,2,2,1,1,0,0,0,0,2,2,1,0,2,0,0,1,0,0,1
38,1,United States,NY,0,1,0,2,3,1,1,1,1,0,1,2,4,0,0,1,2,2,2,1,0,6
27,2,United States,NY,1,0,1,3,0,1,1,1,1,1,1,1,0,2,2,2,1,0,2,1,0,4
33,1,United States,CA,0,1,0,0,5,0,1,0,0,0,0,2,4,1,0,0,0,0,2,0,0,8
31,1,United States,TX,0,0,0,4,2,0,1,2,2,0,0,2,4,0,0,2,1,2,2,0,0,0
34,2,United States,OR,0,1,1,1,4,1,1,1,2,0,2,2,4,1,2,2,2,0,0,2,0,1
29,2,United States,FL,0,0,1,2,2,0,1,1,1,0,0,2,4,2,0,2,2,0,2,0,1,4
32,1,United States,IL,0,0,0,4,4,0,1,2,0,0,2,2,4,0,0,2,2,0,0,2,0,0
31,1,United States,NY,0,0,0,0,4,0,1,1,1,1,1,1,1,0,0,2,1,0,0,1,0,3
40,1,United States,TX,0,0,1,2,2,0,1,0,1,0,0,1,3,0,0,1,1,1,1,0,0,7
34,1,United States,OH,0,0,0,4,2,0,1,2,0,0,0,2,1,2,0,2,0,0,2,2,0,5
29,1,United States,MN,0,0,0,0,2,0,1,2,0,0,2,2,4,0,0,1,1,2,2,0,0,3
24,1,United States,MO,0,1,0,1,2,0,1,2,2,0,2,2,1,2,2,2,0,0,2,2,0,8
33,1,United States,AZ,0,0,1,2,1,0,1,0,1,0,0,2,1,2,0,2,0,0,2,0,0,4
30,1,United States,IN,0,0,1,3,0,0,1,0,1,0,0,1,1,0,0,1,1,2,2,1,0,7
44,2,United States,MA,0,0,0,0,3,0,1,1,2,2,2,2,4,2,2,0,2,0,0,2,0,9
25,1,United States,NY,0,1,0,4,2,0,1,2,0,2,2,2,0,0,0,2,1,0,0,2,0,6
33,1,United States,WI,0,1,1,2,2,1,1,1,1,1,1,1,1,0,0,2,1,2,2,1,0,1
29,1,United States,NY,0,0,0,0,5,0,1,1,2,1,2,2,1,0,0,2,1,0,0,2,0,3
35,1,United States,MO,0,1,0,1,1,0,1,1,2,0,0,1,1,0,0,2,1,0,0,2,0,6
35,1,United States,OR,0,1,1,2,2,1,1,2,2,0,0,2,1,0,0,2,1,0,2,0,0,1
34,1,United States,TN,0,1,0,0,1,1,1,1,0,0,0,2,4,2,0,0,0,0,0,2,0,8
32,1,United States,WA,0,0,1,2,2,0,1,1,0,1,1,1,2,2,0,2,1,0,2,1,0,4
22,1,United States,NY,0,0,1,2,4,0,1,1,1,0,2,1,4,1,0,0,0,0,1,0,0,4
28,1,United States,CA,0,0,1,2,2,0,1,1,1,1,1,1,1,0,0,2,2,0,2,1,0,7
45,1,United States,MO,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1
32,1,United States,NY,0,0,0,0,3,0,1,1,1,0,2,2,4,2,0,2,2,0,0,2,0,9
28,1,United States,TX,0,0,0,4,5,0,1,2,0,0,2,2,4,2,0,2,0,0,2,2,0,5
18,1,United States,CT,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,7
35,1,United States,CO,0,0,0,4,2,1,1,2,2,0,2,2,4,0,0,2,1,2,2,2,0,0
29,1,United States,GA,0,0,0,0,5,0,1,1,1,0,1,2,4,1,1,0,0,0,0,2,0,3
25,1,United States,DC,0,0,0,4,2,1,1,2,0,0,0,2,0,0,0,2,1,0,0,2,0,0
33,1,United States,MN,0,1,1,2,1,1,1,2,0,2,2,1,0,0,0,1,1,0,2,1,0,1
36,1,United States,WA,0,0,0,3,1,0,1,1,0,0,0,1,4,2,0,0,0,0,0,2,0,5
27,1,United States,WA,0,1,0,0,4,0,1,1,0,1,1,1,4,1,0,2,0,0,1,2,0,8
32,1,United States,OR,0,0,1,1,3,0,1,1,1,0,1,1,4,1,0,0,1,0,0,2,0,4
33,1,United States,IL,0,1,1,2,5,0,1,1,1,0,0,2,0,2,0,1,2,0,1,0,0,2
32,1,United States,CA,0,0,0,1,0,1,1,0,1,0,0,2,3,2,0,1,2,0,1,2,0,9
27,1,United States,NE,0,0,0,0,2,0,1,2,2,2,2,2,4,0,0,1,1,2,2,2,0,3
39,1,United States,IA,0,0,1,3,5,0,1,1,2,0,0,2,1,0,0,1,1,0,0,2,0,7
29,2,United States,MD,0,0,0,4,1,0,1,2,0,0,2,2,1,2,0,2,0,0,0,2,0,5
38,1,United States,OR,0,1,1,2,3,0,1,2,0,2,2,2,4,2,0,2,1,0,0,2,0,2
35,1,United States,TX,0,0,0,0,2,1,0,2,2,2,2,2,4,1,0,2,0,0,2,2,0,3
-29,1,United States,MN,0,0,0,4,5,1,0,1,0,2,1,2,4,0,0,2,1,0,0,2,0,0
30,2,United States,PA,0,1,0,4,5,1,1,2,2,0,2,2,4,2,2,2,2,0,2,2,0,5
37,1,United States,IN,0,1,1,1,3,0,0,1,1,1,1,2,1,2,2,2,1,2,2,2,0,2
23,1,United States,WV,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,9
29,2,United States,MI,0,0,0,4,3,1,1,2,2,0,2,2,4,2,0,0,2,0,2,2,0,5
32,1,United States,CA,0,1,0,0,2,0,1,2,2,0,0,2,0,0,0,2,2,0,2,0,0,3
36,1,United States,IL,0,0,0,0,1,0,1,2,2,2,2,2,4,0,0,2,2,2,2,2,0,3
25,1,United States,IL,0,1,1,2,2,0,0,2,0,0,2,2,2,2,0,2,2,0,2,0,0,2
27,1,United States,CA,0,1,1,2,5,0,1,2,0,0,2,2,4,0,0,0,2,0,2,2,0,1
26,1,United States,OK,0,0,0,3,2,0,0,2,2,0,0,2,4,1,2,2,1,0,2,0,0,0
27,1,United States,UT,0,0,1,1,2,1,1,0,1,0,0,2,2,2,0,2,1,0,0,2,1,4
25,1,United States,IL,0,1,1,2,2,0,1,2,2,0,0,2,0,2,0,2,0,0,0,2,1,2
25,2,United States,NY,0,1,1,2,4,0,1,1,0,0,0,2,4,1,1,2,2,0,0,2,0,1
31,1,United States,CA,0,0,0,0,5,0,1,1,0,0,1,2,4,0,0,2,2,0,0,2,0,3
26,1,United States,MA,0,1,0,1,1,0,1,2,0,0,0,2,4,2,0,2,1,0,0,2,0,8
33,2,United States,WA,1,1,1,2,0,0,1,0,1,1,1,1,3,0,0,2,1,0,1,1,0,1
34,1,United States,MN,0,0,0,0,2,0,1,0,0,0,0,2,0,2,0,2,2,0,2,2,0,9
42,1,United States,CA,0,0,0,4,1,0,1,0,1,0,0,2,3,2,0,1,1,0,2,0,0,5
23,2,United States,NC,0,0,0,4,1,0,1,2,0,0,2,2,4,2,2,2,1,0,2,1,0,5
31,1,United States,MO,0,0,0,0,2,0,1,2,2,0,2,2,4,2,0,0,2,0,2,2,0,9
32,2,United States,MA,0,0,1,3,1,1,1,1,2,2,2,1,0,0,0,1,1,0,0,1,1,7
45,2,United States,CA,0,0,1,2,0,0,1,1,0,0,0,1,2,0,0,1,1,0,0,1,0,7
33,1,United States,TX,0,0,0,4,1,1,1,2,0,0,0,2,0,0,0,1,1,0,2,2,0,0
45,1,United States,CA,0,0,1,2,5,0,1,2,2,2,2,2,4,1,1,2,2,0,0,2,0,4
43,1,United States,WA,0,1,1,3,5,1,1,1,2,0,2,2,3,1,2,0,0,0,0,0,0,1
37,1,United States,MA,0,0,0,4,4,1,1,1,0,0,0,2,4,1,0,2,0,2,1,0,0,0
35,2,United States,CA,0,1,1,0,5,0,1,1,2,2,0,1,1,2,0,0,0,0,0,2,0,2
28,1,United States,MI,0,1,1,2,2,0,1,1,0,0,0,2,1,2,2,2,0,0,2,0,0,2
35,1,United States,CA,0,0,1,1,1,0,1,0,0,0,0,1,4,0,0,2,1,0,0,2,0,7
35,2,United States,NY,0,0,0,0,4,1,1,2,2,0,0,2,4,2,2,2,0,0,0,2,0,9
26,1,United States,CA,0,0,0,1,5,0,1,1,0,0,0,1,1,0,0,2,1,0,2,0,0,3
27,1,United States,TN,0,1,0,4,1,1,1,1,1,0,0,2,1,2,2,2,2,0,2,1,0,5
27,2,United States,OR,0,1,1,2,2,0,1,1,0,0,0,2,0,0,0,2,2,0,0,1,0,1
34,2,United States,MN,0,0,1,2,4,0,0,1,1,1,1,1,1,2,0,2,1,0,0,1,0,4
41,1,United States,FL,0,0,1,3,1,1,1,0,2,0,0,2,3,2,2,2,2,2,2,2,0,4
30,1,United States,MA,0,0,1,3,2,0,1,0,1,0,0,1,1,2,0,1,1,0,2,2,0,4
24,1,United States,KS,0,0,0,0,2,0,1,2,2,0,2,2,4,0,0,2,1,0,0,2,0,3
40,2,United States,DC,0,0,0,4,2,0,1,1,1,1,1,1,1,0,0,2,1,0,0,1,0,0
32,2,United States,TX,0,1,1,2,1,0,1,2,0,0,0,0,4,1,2,2,2,0,2,0,1,1
32,2,United States,MA,0,0,1,2,3,0,0,1,1,2,2,1,0,0,0,1,1,0,1,1,0,7
27,2,United States,MI,1,1,1,2,0,1,1,0,0,2,2,2,3,0,0,2,0,0,0,2,0,1
29,2,United States,NY,0,0,1,0,4,0,0,1,0,0,2,2,2,2,0,2,0,0,0,2,0,4
41,1,United States,VA,0,0,0,4,2,0,1,1,2,0,0,2,0,1,0,0,2,0,0,2,0,0
34,2,United States,WA,0,0,0,4,1,0,1,1,0,0,0,2,1,0,0,1,1,2,2,1,0,0
28,1,United States,PA,0,0,0,1,1,0,1,2,0,0,0,2,4,0,0,2,2,0,2,2,0,3
28,1,United States,MI,0,0,1,2,5,0,1,0,1,0,0,1,3,1,0,0,2,0,0,0,0,4
23,1,United States,PA,0,0,0,0,2,0,1,2,2,2,2,2,4,0,0,0,1,0,1,1,0,3
24,1,United States,OR,0,0,0,4,0,0,1,2,0,2,0,1,0,0,0,1,1,2,1,1,0,0
32,1,United States,WA,0,0,0,1,0,1,1,0,1,0,0,2,3,0,0,2,1,0,2,1,0,3
24,1,United States,PA,0,0,0,0,1,0,1,1,2,0,2,2,0,2,0,2,0,2,2,1,0,9
36,1,United States,OH,0,0,1,2,2,0,1,1,0,0,1,2,4,2,0,2,2,0,2,2,1,4
41,1,United States,TX,0,0,1,1,4,1,1,1,1,0,2,2,4,2,2,2,0,2,2,0,0,4
38,1,United States,NH,0,0,0,2,2,1,1,2,2,0,2,2,4,2,2,2,1,0,2,0,0,9
37,2,United States,NC,0,1,1,2,5,0,0,1,1,1,1,1,1,0,0,2,2,0,2,1,0,1
34,1,United States,FL,0,1,1,2,0,0,1,0,0,0,0,2,2,2,0,2,2,0,2,0,1,2
33,1,United States,CA,0,1,1,2,2,0,1,1,1,1,1,1,1,0,0,2,1,0,0,2,0,1
27,1,United States,GA,0,0,0,0,5,1,1,1,1,2,2,1,1,0,0,2,1,2,2,1,0,3
40,1,United States,OH,0,0,1,2,5,1,1,1,1,1,1,1,4,1,2,0,0,0,2,0,1,4
21,1,United States,KY,0,0,1,3,1,0,0,2,0,0,2,2,4,2,0,0,0,0,2,2,0,4
32,1,United States,NC,0,1,1,2,0,1,1,0,0,0,0,2,4,2,0,1,1,0,1,2,0,2
29,2,United States,NY,0,1,1,1,4,1,0,1,1,1,2,1,4,2,0,2,0,2,1,2,0,2
23,1,United States,AL,0,1,1,2,2,1,0,2,0,0,2,1,1,2,0,2,2,0,1,1,0,2
28,1,United States,GA,0,1,0,4,3,0,1,1,0,0,2,1,1,0,0,2,1,0,2,1,1,6
31,1,United States,CA,0,1,1,1,3,1,1,1,1,1,2,1,0,0,0,2,1,0,2,1,0,1
24,1,United States,VA,0,0,0,2,1,0,1,2,0,2,2,2,4,0,0,1,1,2,2,2,0,0
42,1,United States,WA,0,0,0,0,1,1,1,0,1,0,1,2,1,0,0,2,1,0,0,1,0,3
27,2,United States,TX,0,0,1,1,1,0,1,1,0,0,0,1,4,2,2,1,0,0,2,2,0,4
30,1,United States,FL,0,0,1,2,3,1,1,1,1,0,1,1,4,0,0,1,1,2,0,1,0,7
32,1,United States,NV,0,0,0,4,1,0,1,0,1,0,2,2,0,0,0,2,1,0,2,2,0,0
41,1,United States,AL,0,0,1,2,2,1,1,1,1,2,0,2,0,0,0,1,1,1,1,1,0,7
37,2,United States,CA,0,1,1,3,2,0,1,1,1,0,0,1,4,2,0,2,2,0,1,2,0,2
32,1,United States,CO,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,1,1,0,0,2,0,3
23,2,United States,MN,0,1,1,0,3,0,0,1,0,2,2,1,4,0,0,2,1,2,2,1,0,1
30,1,United States,NJ,0,0,0,4,5,0,1,1,1,1,1,1,0,0,0,2,1,0,0,1,0,0
38,1,United States,PA,0,0,1,1,2,1,1,1,0,0,0,2,4,1,0,0,0,0,2,0,0,4
34,1,United States,MO,0,0,0,4,2,0,0,1,0,0,0,2,4,2,0,2,0,0,0,2,0,5
28,1,United States,MN,0,0,1,1,3,0,0,1,1,1,2,2,0,2,0,2,2,0,0,1,0,4
23,1,United States,PA,0,1,0,2,3,0,1,2,0,0,2,2,4,2,0,2,0,0,2,0,0,8
18,1,United States,TX,0,0,1,2,1,0,1,2,0,0,2,2,4,1,0,0,0,0,2,2,0,4
35,1,United States,NY,0,1,1,2,2,0,1,1,1,0,0,1,2,1,0,0,2,0,2,2,0,1
26,2,United States,WA,0,1,1,1,5,0,1,1,2,2,2,2,4,2,0,2,2,0,0,2,0,2
18,1,United States,WA,0,0,0,0,2,0,1,2,2,2,2,2,0,0,0,2,2,0,2,1,0,3
38,2,United States,TX,0,0,1,2,0,0,1,0,1,0,0,2,4,0,2,2,0,0,0,2,1,7
26,2,United States,TX,0,1,1,1,5,1,1,1,1,1,2,2,1,2,0,2,0,0,0,2,0,2
35,1,United States,CA,0,0,0,0,5,0,1,2,0,0,2,2,4,1,2,2,2,0,0,2,0,3
45,1,United States,NY,0,1,1,2,5,0,1,1,1,2,2,1,4,2,0,2,2,0,2,2,0,2
32,1,United States,CA,0,0,0,0,5,0,1,1,0,0,2,2,4,2,0,2,2,0,0,2,0,9
24,2,United States,CA,0,0,0,4,4,0,1,2,2,0,2,2,4,2,2,2,0,0,2,0,0,5
30,2,United States,SC,0,1,1,2,2,0,1,1,1,1,2,2,0,0,0,1,1,0,1,1,0,1
60,1,United States,CA,0,0,0,4,5,0,1,1,0,2,1,2,4,0,0,2,1,2,2,1,0,0
33,1,United States,CA,0,1,1,2,5,0,1,1,0,1,1,2,4,1,0,0,0,0,2,2,0,1
37,1,United States,NY,0,0,0,0,5,0,1,1,1,1,1,2,4,0,0,2,1,2,2,2,0,3
23,2,United States,NY,0,0,1,2,5,0,1,1,1,1,1,2,4,0,0,2,2,0,0,1,0,7
31,2,United States,CA,0,0,1,2,5,0,1,1,2,2,2,1,1,0,0,1,1,0,0,1,0,7
26,1,United States,MA,0,0,0,1,3,0,1,1,2,0,2,2,4,0,0,2,1,0,2,2,0,3
28,2,United States,WA,0,1,1,3,3,1,0,1,1,1,1,1,1,1,0,2,1,0,0,1,0,1
37,2,United States,CA,0,0,1,1,5,0,1,1,1,2,1,2,1,0,0,2,1,0,0,1,0,7
30,3,United States,IL,0,1,1,1,2,0,1,1,2,0,0,2,1,2,0,2,1,0,0,2,0,2
26,1,United States,IN,0,0,0,4,2,0,1,0,0,0,0,2,4,0,0,2,2,0,0,2,1,0
25,1,United States,OR,0,0,0,4,2,1,1,2,2,0,2,2,4,0,0,2,1,0,0,2,0,0
27,1,United States,TN,0,0,0,2,3,0,1,1,2,1,1,2,4,2,0,2,1,0,2,2,0,9
35,1,United States,OR,0,0,1,1,3,0,1,1,2,2,1,2,4,0,0,2,1,0,0,2,0,7
36,1,United States,WA,1,0,1,0,0,0,1,0,1,0,0,2,1,2,0,2,1,0,0,1,0,4
26,1,United States,CA,0,1,1,2,5,0,1,1,2,0,2,2,4,1,0,0,0,0,0,0,0,1
27,1,United States,CA,0,1,0,4,5,0,1,2,0,2,2,2,0,0,0,1,1,2,2,1,0,6
30,1,United States,VT,0,0,0,4,1,0,0,2,2,0,2,2,4,2,2,2,2,0,0,2,0,5
29,1,United States,NY,0,0,0,4,3,0,0,2,2,0,2,2,4,2,0,0,0,0,2,2,0,5
25,1,United States,UT,0,0,0,0,5,0,0,1,1,1,1,1,0,0,0,2,1,2,2,1,0,3
22,2,United States,NY,0,1,1,3,5,0,1,1,1,1,1,1,1,2,0,0,2,0,0,1,1,2
29,1,Latvia,NY,0,0,0,4,2,0,1,0,1,0,0,2,1,2,2,2,2,0,0,2,0,5
41,1,United States,SD,0,1,1,1,3,1,1,1,1,2,1,1,1,0,0,2,1,2,2,1,0,1
29,1,United States,CA,0,0,1,2,5,0,1,1,0,0,2,2,4,1,0,2,2,0,2,0,0,4
32,1,United States,OR,0,0,0,0,4,0,1,1,2,2,1,1,1,0,0,2,1,2,2,1,0,3
24,2,United States,CA,0,1,1,2,5,0,1,1,1,0,1,1,4,2,0,2,0,0,2,2,0,2
25,1,United States,CA,0,0,1,1,1,0,1,1,0,2,0,2,4,2,0,0,0,0,0,2,0,4
25,1,United States,CA,0,0,0,4,5,0,1,2,2,2,2,2,4,2,0,0,0,0,2,2,0,5
30,2,United States,CO,0,0,0,0,5,0,1,1,1,1,1,1,1,2,2,0,2,0,0,2,0,9
25,1,United States,CA,0,1,1,2,5,0,1,2,2,2,1,2,4,0,0,1,1,0,0,1,0,1
30,1,United States,OH,1,0,0,0,0,1,1,0,1,0,0,2,4,2,0,2,2,0,2,2,0,9
24,1,United States,WA,0,0,0,4,2,0,1,1,2,1,1,1,0,0,0,2,2,0,2,1,0,0
31,1,United States,OH,0,0,0,4,3,0,0,2,0,0,0,1,1,2,0,0,0,0,1,0,0,5
46,1,United States,WA,0,0,0,0,2,0,1,1,2,1,2,2,0,0,0,2,2,2,2,2,0,3
29,2,United States,CA,1,0,0,2,5,0,1,1,2,2,0,2,0,2,2,2,2,0,0,2,0,9
24,1,United States,MA,0,0,0,4,5,0,1,1,1,2,2,1,4,1,0,0,0,0,2,2,0,0
29,1,United States,WA,0,0,0,4,2,0,1,1,1,1,1,1,0,0,0,2,1,0,2,1,0,0
35,1,United States,MI,0,0,0,4,2,0,0,2,2,0,2,2,4,0,0,1,1,0,0,0,0,0
33,2,United States,WA,0,1,0,2,2,1,1,0,1,0,0,2,3,1,2,2,2,0,2,0,0,8
27,1,United States,CA,0,0,0,2,5,0,1,2,2,2,2,2,0,1,0,0,0,0,2,0,0,9
36,1,United States,IA,0,0,0,4,5,0,1,2,2,2,2,2,4,2,0,2,2,0,0,2,0,5
25,2,United States,WA,0,1,1,2,2,0,1,1,1,0,0,1,4,0,0,2,1,0,0,2,0,1
23,1,United States,AL,0,1,1,2,3,0,0,2,0,0,0,2,4,0,0,1,1,2,1,2,0,1
54,1,United States,CA,0,1,1,0,5,0,1,2,0,1,1,2,4,0,0,0,1,0,0,2,0,1
22,1,United States,CA,0,0,0,2,5,0,1,2,0,2,2,2,4,2,0,2,0,0,2,2,0,9
25,3,United States,CA,0,1,1,2,5,0,1,1,1,2,2,2,4,2,0,2,2,0,0,1,0,2
27,1,United States,MA,0,0,1,2,5,0,1,1,1,1,1,1,4,0,0,0,0,0,1,1,0,7
26,1,United States,CA,0,1,1,3,5,0,1,1,2,2,1,2,4,2,0,2,0,0,0,2,0,2
31,1,United States,CA,0,0,1,2,4,0,0,0,1,0,2,1,4,0,0,2,0,0,0,0,0,7
33,1,United States,IN,0,1,1,2,2,0,1,2,2,0,0,2,4,2,0,2,2,0,0,2,0,2
34,1,United States,WA,0,1,1,2,5,0,1,1,1,2,1,1,4,2,2,0,0,0,0,2,0,2
34,1,United States,WA,0,0,1,2,3,1,1,0,0,0,0,2,1,1,1,2,2,0,2,2,0,4
29,1,United States,IN,1,0,0,4,0,1,1,0,1,0,0,1,0,0,0,1,1,2,2,1,0,0
33,2,United States,WA,0,0,0,4,1,0,1,0,0,0,0,2,2,2,0,2,2,0,0,2,0,5
26,1,United States,OK,1,1,1,1,3,1,0,0,0,0,2,0,4,2,0,2,1,0,1,0,0,2
32,1,United States,MI,0,1,1,1,5,0,0,1,1,1,1,1,4,0,0,2,1,0,1,1,0,1
28,1,United States,GA,0,1,1,2,5,0,1,2,2,0,2,2,2,2,2,0,0,0,0,0,0,2
35,1,United States,CA,0,1,0,4,5,0,1,1,0,1,1,1,0,0,0,2,1,0,0,2,0,6
21,1,United States,IN,0,1,1,1,3,0,1,1,0,0,2,1,4,0,0,1,1,2,2,2,0,1
22,2,United States,WA,0,0,0,4,5,0,1,1,0,1,1,1,1,0,0,0,2,0,0,1,0,0
41,1,United States,WA,0,1,1,3,5,0,1,1,0,1,1,2,2,2,0,1,2,0,2,0,1,2
55,1,United States,PA,0,1,1,1,5,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1
32,2,United States,WA,0,0,1,2,2,0,1,1,1,1,1,1,1,2,0,2,1,0,2,1,0,4
21,2,United States,CA,0,1,1,1,2,0,1,2,2,2,0,2,1,1,0,2,0,0,1,2,0,1
45,1,United States,MA,0,0,1,0,2,1,1,1,1,2,2,2,4,2,0,0,2,0,2,2,0,4
27,2,United States,WA,0,0,1,1,5,0,1,1,1,0,0,1,4,1,2,0,0,0,0,0,0,4
25,2,United States,WA,0,1,1,2,2,1,1,2,0,0,0,2,4,2,0,2,1,0,0,1,0,2
34,2,United States,NY,0,1,1,1,5,0,0,1,1,1,1,1,3,2,2,2,2,0,0,1,0,2
26,2,United States,CA,0,1,1,0,5,0,1,1,1,0,1,1,4,2,0,0,0,0,0,2,0,2
27,1,United States,CA,0,0,1,1,5,0,1,1,0,1,1,1,4,0,0,2,1,0,2,1,0,7
31,1,United States,IN,0,1,1,2,2,1,1,1,0,0,0,2,4,0,0,1,1,0,0,2,0,1
26,1,United States,NV,0,0,1,2,1,0,1,2,0,0,0,2,4,1,1,2,0,0,0,0,0,4
27,2,United States,CO,0,1,1,1,5,1,1,1,1,0,2,2,4,2,2,0,1,0,0,2,0,2
29,3,United States,CA,1,1,1,2,0,1,1,1,1,0,0,2,3,1,0,2,0,0,2,0,0,1
